Database	Tagline
Audience	Not Used
Characters	Tell us about the main characters in this submission. Example: Martha 34 year old teacher, James 12 year old student
Community	Not Used
Country	Not Used
Duration	Not Used
Email	Please enter your email address. (the user must enter it twice to ensure accuracy. Can you disable copy/paste?)
First Name	Please enter your first name.
Genre	What is the genre to of your submission? Click on all that apply. Action, Comedy, Drama, Experimental, Fantasy, Horror, Music Video, Sci-Fi, Suspense Thriller
Goals	Not Used
Inspirations Creative	Not Used
Inspirations People	Not Used
Last Name	Please enter your last name.
Learning	Not Used
Location	Not Used
Marketing	Would you like to receive 1 email per month about updates to this app and about our latest film festival submission discounts?
Music	Not Used
Non Film Industry Experience	Not Used
Plot	Highlight the plot, stakes or challenges faced by the main characters?
Project Location	Where does the story take place?
Project Title	What is the title of this project?
Project Type	Is this project a standalone work or is it an episode in an ongoing series?
Relevant Work Experience	Not Used
Role	Not Used
Screenings / Awards	Not Used
Script Text	Please upload your script or use the box below to tell us what the story is about. (character arcs, events, beginning, climax, time perieod, ending, etc ...)  
Standard AI Prompt Tagline	Do not share this field publicly. Do not process fields marked "Not Used" Use the user inputs to create a sentence at the 9th grade US High School Reading level that is optimally 10 words but should be no longer than 15 words or less. Use the information provided by the user to craft a compelling tagline that is meant to generate interest in the film, but does not reveal the ending. As an example, the tagline for the feature length comedy film "Ferris Bueller's Day Off" is "One man's mission to take it easy." The tagline for the science fiction feature film "Alien" was "In space, noone can hear you scream." The tagline does not specifically state the character's name, or the genre." 
Premium AI Prompt Tagline	Not Used
